169822:   ./client --iterations 10000
   Address Perm   Offset Device   Inode  Size   Rss  Pss Referenced Anonymous LazyFree ShmemPmdMapped FilePmdMapped Shared_Hugetlb Private_Hugetlb Swap SwapPss Locked THPeligible Mapping
5560410000 r-xp 00000000  b3:07 1198306    28    28   28         28         0        0              0             0              0               0    0       0      0           0 client
5560426000 r--p 00006000  b3:07 1198306     4     4    4          4         4        0              0             0              0               0    0       0      0           0 client
5560427000 rw-p 00007000  b3:07 1198306     4     4    4          4         4        0              0             0              0               0    0       0      0           0 client
7fac982000 rw-p 00000000  00:00       0     8     0    0          0         0        0              0             0              0               0    0       0      0           0 
7fac984000 r-xp 00000000  b3:07  919840   296    64    8         64         0        0              0             0              0               0    0       0      0           0 libgssapi_krb5.so.2.2
7fac9ce000 ---p 0004a000  b3:07  919840    64     0    0          0         0        0              0             0              0               0    0       0      0           0 libgssapi_krb5.so.2.2
7fac9de000 r--p 0004a000  b3:07  919840     8     8    8          8         8        0              0             0              0               0    0       0      0           0 libgssapi_krb5.so.2.2
7fac9e0000 rw-p 0004c000  b3:07  919840     8     8    8          8         8        0              0             0              0               0    0       0      0           0 libgssapi_krb5.so.2.2
7fac9e2000 r-xp 00000000  b3:07  919636  2484  1948  194       1948         0        0              0             0              0               0    0       0      0           0 libcrypto.so.1.1
7facc4f000 ---p 0026d000  b3:07  919636    60     0    0          0         0        0              0             0              0               0    0       0      0           0 libcrypto.so.1.1
7facc5e000 r--p 0026c000  b3:07  919636   184   184  184        184       184        0              0             0              0               0    0       0      0           0 libcrypto.so.1.1
7facc8c000 rw-p 0029a000  b3:07  919636     8     8    8          8         8        0              0             0              0               0    0       0      0           0 libcrypto.so.1.1
7facc8e000 rw-p 00000000  00:00       0    16    12   12         12        12        0              0             0              0               0    0       0      0           0 
7facc92000 r-xp 00000000  b3:07  919641   512   308  218        308         0        0              0             0              0               0    0       0      0           0 libssl.so.1.1
7facd12000 ---p 00080000  b3:07  919641    64     0    0          0         0        0              0             0              0               0    0       0      0           0 libssl.so.1.1
7facd22000 r--p 00080000  b3:07  919641    36    36   36         36        36        0              0             0              0               0    0       0      0           0 libssl.so.1.1
7facd2b000 rw-p 00089000  b3:07  919641    16    16   16         16        16        0              0             0              0               0    0       0      0           0 libssl.so.1.1
7facd2f000 r-xp 00000000  b3:07  919953    68    60   30         60         0        0              0             0              0               0    0       0      0           0 libpsl.so.5.3.2
7facd40000 ---p 00011000  b3:07  919953    60     0    0          0         0        0              0             0              0               0    0       0      0           0 libpsl.so.5.3.2
7facd4f000 r--p 00010000  b3:07  919953     4     4    4          4         4        0              0             0              0               0    0       0      0           0 libpsl.so.5.3.2
7facd50000 rw-p 00011000  b3:07  919953     4     4    4          4         4        0              0             0              0               0    0       0      0           0 libpsl.so.5.3.2
7facd51000 r-xp 00000000  b3:07  919485   192   124   78        124         0        0              0             0              0               0    0       0      0           0 libssh2.so.1.0.1
7facd81000 ---p 00030000  b3:07  919485    64     0    0          0         0        0              0             0              0               0    0       0      0           0 libssh2.so.1.0.1
7facd91000 r--p 00030000  b3:07  919485     4     4    4          4         4        0              0             0              0               0    0       0      0           0 libssh2.so.1.0.1
7facd92000 rw-p 00031000  b3:07  919485     4     4    4          4         4        0              0             0              0               0    0       0      0           0 libssh2.so.1.0.1
7facd93000 r-xp 00000000  b3:07  919788   108    64   32         64         0        0              0             0              0               0    0       0      0           0 librtmp.so.1
7facdae000 ---p 0001b000  b3:07  919788    64     0    0          0         0        0              0             0              0               0    0       0      0           0 librtmp.so.1
