Latency (ms), Latency (clock ticks)
58.830000,58830.000000
57.850000,57850.000000
57.256000,57256.000000
57.080000,57080.000000
58.011000,58011.000000
57.354000,57354.000000
57.010000,57010.000000
56.953000,56953.000000
56.954000,56954.000000
56.992000,56992.000000
57.157000,57157.000000
57.141000,57141.000000
57.307000,57307.000000
57.530000,57530.000000
57.196000,57196.000000
57.167000,57167.000000
57.780000,57780.000000
57.302000,57302.000000
57.306000,57306.000000
57.668000,57668.000000
56.981000,56981.000000
57.326000,57326.000000
57.067000,57067.000000
57.322000,57322.000000
57.204000,57204.000000
57.122000,57122.000000
57.378000,57378.000000
57.396000,57396.000000
57.158000,57158.000000
57.022000,57022.000000
57.361000,57361.000000
57.171000,57171.000000
57.083000,57083.000000
57.734000,57734.000000
57.417000,57417.000000
57.137000,57137.000000
57.690000,57690.000000
58.550000,58550.000000
